編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLTJJIPFFAI98DA,26,81.84,住家用,鋼筋混凝土造,83年12月23日,十四層,八層
RPROMLTJJIPFFAI98DA,26,23.50,共有部份,鋼筋混凝土造,83年12月23日,十四層,
RPROMLTJJIPFFAI98DA,26,17.76,共有部份,鋼筋混凝土造,83年12月23日,十四層,
RPSNMLKKJIPFFAI18DA,46,84.59,見其他登記事項,鋼筋混凝土加強磚造,63年5月3日,二層,一層 二層
RPOOMLPJJIPFFAI28DA,23,122.20,住商用,鋼筋混凝土造,86年7月9日,九層,一層 二層 騎樓
RPOOMLPJJIPFFAI28DA,23,41.12,共有部份,鋼筋混凝土造,86年7月9日,九層,
RPSNMLKLRHPFFAI98DA,26,55.24,住家用,鋼筋混凝土造,84年1月17日,十二層,十二層
RPSNMLKLRHPFFAI98DA,26,22.67,共有部份,鋼筋混凝土造,84年1月17日,十二層,
RPXOMLSLRHPFFAI77DA,32,21.19,住家用,鋼筋混凝土造,78年2月3日,七層,六層
RPXOMLSLRHPFFAI77DA,32,11.04,共有部份,鋼筋混凝土造,78年2月3日,七層,
RPUNMLPLRHPFFAI07DA,28,98.27,住家用,鋼筋混凝土造,81年6月26日,十五層,八層
RPUNMLPLRHPFFAI07DA,28,25.93,共有部份,鋼筋混凝土造,81年6月26日,十五層,
RPUNMLPLRHPFFAI07DA,28,16.53,共有部份,鋼筋混凝土造,81年6月26日,十五層,
RPWNMLLKJIPFFAI68DA,27,18.94,共有部份,鋼筋混凝土造,82年8月23日,九層,
RPWNMLLKJIPFFAI68DA,27,9.23,共有部份,鋼筋混凝土造,82年8月23日,九層,
RPWNMLLKJIPFFAI68DA,27,80.51,住家用,鋼筋混凝土造,82年8月23日,九層,四層
RPPQMLTJJIPFFAI98DA,25,100.59,住家用,鋼筋混凝土造,85年3月11日,二十層,二十層
RPPQMLTJJIPFFAI98DA,25,28.61,共有部份,鋼筋混凝土造,85年3月11日,二十層,
RPSNMLLKJIPFFAI28DA,1,222.30,見其他登記事項,見其他登記事項,109年2月17日,四層,一層 二層 三層 四層 見其他登記事項
RPSNMLLKJIPFFAI28DA,1,.08,見其他登記事項,見其他登記事項,109年2月17日,一層,
RPQNMLLKJIPFFAI08DA,22,93.09,住家用,鋼筋混凝土造,87年4月21日,十六層,十層
RPQNMLLKJIPFFAI08DA,22,20.85,共有部份,鋼筋混凝土造,87年4月21日,十六層,
RPQNMLLKJIPFFAI08DA,22,24.81,共有部份,鋼筋混凝土造,87年4月21日,十六層,
RPOOMLLKJIPFFAI97DA,52,96.22,住家用,木造,57年7月30日,二層,一層 二層 騎樓
RPROMLLKJIPFFAI28DA,28,110.99,住家用,鋼筋混凝土造,81年6月30日,七層,四層
RPROMLLKJIPFFAI28DA,28,29.85,共有部份,鋼筋混凝土造,81年6月30日,七層,
RPVNMLPJJIPFFAI88DA,3,3.88,見其他登記事項,見其他登記事項,106年6月28日,十層,一層 見其他登記事項
RPVNMLPJJIPFFAI88DA,3,121.93,見其他登記事項,見其他登記事項,106年6月28日,十層,三層
RPVNMLPJJIPFFAI88DA,3,25.69,見其他登記事項,見其他登記事項,106年6月28日,十層,
RPVNMLPJJIPFFAI88DA,3,.70,見其他登記事項,見其他登記事項,106年6月28日,十層,
RPVNMLPJJIPFFAI88DA,3,52.41,見其他登記事項,見其他登記事項,106年6月28日,十層,
RPOQMLRJIIPFFAI58DA,26,101.29,住家用,鋼筋混凝土造,84年1月13日,十二層,七層
RPOQMLRJIIPFFAI58DA,26,39.50,共有部份,鋼筋混凝土造,84年1月13日,十二層,
RPQPMLTLRHPFFAI27DA,25,34.50,住家用,鋼筋混凝土造,85年3月11日,二十層,五層
RPQPMLTLRHPFFAI27DA,25,34.50,住家用,鋼筋混凝土造,85年3月11日,二十層,五層
RPQPMLTLRHPFFAI27DA,25,9.79,共有部份,鋼筋混凝土造,85年3月11日,二十層,
RPQPMLTLRHPFFAI27DA,25,9.79,共有部份,鋼筋混凝土造,85年3月11日,二十層,
RPOPMLKKJIPFFAI97DA,37,65.52,住家用,鋼筋混凝土造,72年7月8日,五層,五層
RPOPMLKKJIPFFAI97DA,37,6.96,共有部份,鋼筋混凝土造,72年7月8日,五層,
RPOPMLKKJIPFFAI97DA,37,5.04,共有部份,鋼筋混凝土造,72年7月8日,五層,
RPOQMLTJJIPFFAI88DA,35,104.20,住家用,鋼筋混凝土造,74年11月29日,五層,一層 地下一層
RPOQMLTJJIPFFAI88DA,35,27.84,共有部份,鋼筋混凝土造,74年11月29日,五層,
RPOQMLTJJIPFFAI88DA,35,8.59,共有部份,鋼筋混凝土造,74年11月29日,五層,
RPOQMLTJJIPFFAI88DA,35,6.05,見其他登記事項,鋼筋混凝土造,74年11月29日,五層,地下二層
RPOQMLTJJIPFFAI88DA,35,7.81,見其他登記事項,鋼筋混凝土造,74年11月29日,五層,地下二層
