編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLTJJIPFFBD38DA,26,111.74,住家用,鋼筋混凝土造,83年9月10日,四層,一層 二層 三層 四層 屋頂突出物 騎樓 夾層
RPXNMLLKJIPFFFD78DA,1,182.33,住家用,見其他登記事項,108年12月27日,三層,一層 二層 三層 屋頂突出物
RPQNMLQLIIPFFFD58DA,,144.55,住家用,加強磚造,,二層,一層 二層 騎樓
RPQQMLNKIIPFFGD58DA,,172.83,見其他登記事項,鋼筋混凝土造,109年7月2日,三層,一層 二層 三層 屋頂突出物
RPOPMLNKIIPFFGD28DA,,169.82,見其他登記事項,鋼筋混凝土造,109年7月2日,三層,一層 二層 三層 屋頂突出物
RPTNMLTJJIPFFFD09DA,7,283.35,住家用,見其他登記事項,102年10月22日,二層,一層 二層
RPUOMLKKJIPFFGD58DA,,156.56,見其他登記事項,鋼筋混凝土造,109年6月5日,三層,一層 二層 三層 屋頂突出物
RPWOMLKKJIPFFGD78DA,,170.94,住家用,鋼筋混凝土造,109年6月5日,三層,一層 二層 三層 屋頂突出物
RPTNMLKKJIPFFGD38DA,,205.10,見其他登記事項,鋼筋混凝土造,109年8月23日,四層,一層 二層 三層 四層
RPPQMLNKIIPFFGD48DA,,169.82,見其他登記事項,鋼筋混凝土造,109年7月2日,三層,一層 二層 三層 屋頂突出物
RPQOMLNJJIPFFHD48DA,7,219.64,住商用,鋼筋混凝土造,102年7月8日,四層,一層 二層 三層 四層 見其他登記事項
RPXOMLKLIIPFFHD98DA,2,39.15,見其他登記事項,鋼筋混凝土造,108年2月27日,十五層,九層
RPXOMLKLIIPFFHD98DA,2,13.35,見其他登記事項,鋼筋混凝土造,108年2月27日,二層,
RPXOMLKLIIPFFHD98DA,2,12.48,見其他登記事項,鋼筋混凝土造,108年2月27日,十五層,
RPTNMLLKJIPFFGD48DA,1,101.43,見其他登記事項,鋼筋混凝土造,108年11月20日,三層,一層 二層 三層 屋頂突出物
RPTNMLLKJIPFFGD48DA,1,101.43,見其他登記事項,鋼筋混凝土造,108年11月20日,三層,一層 二層 三層 屋頂突出物
RPSOMLQJJIPFFHD98DA,28,140.96,住家用,鋼筋混凝土造,81年8月5日,七層,一層
RPSOMLQJJIPFFHD98DA,28,43.81,住家用,鋼筋混凝土造,81年8月5日,七層,
RPTOMLQJJIPFFHD09DA,28,84.31,住家用,鋼筋混凝土造,81年8月5日,七層,一層
RPTOMLQJJIPFFHD09DA,28,26.96,住家用,鋼筋混凝土造,81年8月5日,七層,
RPRNMLKKJIPFFHD28DA,26,14.20,見其他登記事項,鋼筋混凝土造,84年1月24日,十三層,
RPRNMLKKJIPFFHD28DA,26,7.42,見其他登記事項,鋼筋混凝土造,84年1月24日,十三層,
RPRNMLKKJIPFFHD28DA,26,121.62,住家用,鋼筋混凝土造,84年1月24日,十三層,四層
RPXOMLKKJIPFFID09DA,24,89.28,住家用,鋼筋混凝土造,85年6月21日,十二層,十層
