編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRVMLNKIIPFFBF98CC,7,32.25,見其他登記事項,鋼筋混凝土造,102年12月13日,二十五層,
RPRVMLNKIIPFFBF98CC,7,38.70,見其他登記事項,鋼筋混凝土造,102年12月13日,二十五層,
RPOOMLNKIIPFFEF28CC,3,40.52,住家用,鋼筋混凝土造,106年11月28日,十三層,
RPOOMLNKIIPFFEF28CC,3,2.85,住家用,鋼筋混凝土造,106年11月28日,十三層,
RPOOMLNKIIPFFEF28CC,3,2.97,住家用,鋼筋混凝土造,106年11月28日,十三層,
RPOOMLNKIIPFFEF28CC,3,25.03,見其他登記事項,鋼筋混凝土造,106年11月28日,十九層,
RPOOMLNKIIPFFEF28CC,3,6.23,見其他登記事項,鋼筋混凝土造,106年11月28日,十九層,
RPTTMLOKIIPFFAF98CC,1,30.90,見其他登記事項,鋼筋混凝土造,109年3月17日,十五層,
RPRPMLOKIIPFFEF78CC,25,71.50,住家用,鋼筋混凝土造,84年7月28日,二十三層,
RPQVMLOKIIPFFAF88CC,13,84.08,住家用,鋼筋混凝土造,96年12月26日,十二層,
RPQVMLOKIIPFFAF88CC,13,13.13,共有部份,鋼筋混凝土造,96年12月26日,十二層,
RPQVMLOKIIPFFAF88CC,13,13.25,共有部份,鋼筋混凝土造,96年12月26日,十二層,
RPXQMLOKIIPFFEF86CC,3,87.02,住家用,鋼筋混凝土造,106年8月24日,十九層,
RPXQMLOKIIPFFEF86CC,3,66.66,見其他登記事項,鋼筋混凝土造,106年8月24日,二十二層,
RPPUMLOKIIPFFAF68CC,11,.06,住家用,鋼骨鋼筋混凝土造,98年7月24日,二十九層,
RPPUMLOKIIPFFAF68CC,11,12.64,共有部份,鋼骨鋼筋混凝土造,98年7月24日,二十九層,
RPQTMLOKIIPFFAF68CC,14,36.02,住家用,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
