鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
林口區,車位,文化二路一段68巷1~30號,2.45,都市：其他:第五種住宅區,,,1090927,土地1建物1車位1,,,其他,,,,22.89,0,0,0,有,有,950000,,坡道平面,0.0,950000,僅車位交易;,RPVOMLSLRHPFFBF37DA,0.0,0.0,0.0,有
林口區,房地(土地+建物)+車位,文化三路一段601~630號,16.56,都市：其他:中心商業區,,,1090919,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080814,164.36,2,2,2,有,有,17000000,106376,坡道平面,21.47,1800000,,RPVPMLKMRHPFFBF76DA,83.18,3.05,10.22,有
五股區,房地(土地+建物),成泰路一段7巷48弄1~30號,27.3,都市：其他:住宅區,,,1091004,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820310,101.49,3,2,2,有,無,6700000,66016,,0.0,0,,RPSNMLTJIIPFFBF68DA,82.34,0.0,7.66,無
林口區,房地(土地+建物),文化二路一段271~300號,6.32,都市：其他:中心商業區,,,1091009,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,60.3,2,1,1,有,有,7110000,117910,,0.0,0,夾層;其他增建;,RPOOMLMKIIPFFBF77DA,39.57,1.04,3.68,有
新莊區,房地(土地+建物),華興街31~60號,30.11,都市：其他:住宅區,,,1091008,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0600515,71.16,3,1,1,有,無,4511680,63402,,0.0,0,,RPRPMLMKIIPFFBF18DA,71.16,0.0,0.0,無
新莊區,房地(土地+建物)+車位,立信一街31~60號,14.3,都市：其他:住宅區,,,1091013,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950119,125.68,3,2,2,有,有,14600000,118625,坡道平面,18.62,1900000,,RPXPNLNKIIPFFBF98DA,66.88,3.83,2.93,有
林口區,房地(土地+建物)+車位,忠孝路271~300號,17.18,都市：其他:中心商業區,,,1090930,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090312,164.74,3,2,2,有,有,15700000,95302,坡道平面,29.87,0,,RPWPNLQKIIPFFBF56DA,84.3,4.23,5.63,有
林口區,房地(土地+建物)+車位,文化三路二段61~90號,51.9,都市：其他:第五種住宅區,,,1090915,土地1建物1車位2,十六層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061012,423.83,4,2,3,有,有,47500000,112073,坡道平面,42.44,0,,RPVVMLKLIIPFFBF09DA,238.29,9.29,24.87,有
泰山區,房地(土地+建物),半山雅1~30號,53.96,,鄉村區,乙種建築用地,1091003,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0900829,121.47999999999999,4,2,2,有,無,9200000,75733,,0.0,0,其他增建;,RPTOMLLLIIPFFBF28DA,92.51,0.0,16.18,無
林口區,房地(土地+建物)+車位,文化三路二段61~90號,49.8,都市：其他:第五種住宅區,,,1091012,土地1建物1車位2,十六層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061012,409.55999999999995,4,2,3,有,有,49500000,126389,坡道平面,42.44,3100000,含裝潢費7200000元;,RPUQMLQLIIPFFBF09DA,228.4,9.29,25.02,有
新莊區,房地(土地+建物),中正路929巷7弄1~30號,29.97,都市：其他:住宅區,,,1091005,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770519,106.82,3,2,2,有,無,9600000,89871,,0.0,0,其他增建;,RPTNMLRLIIPFFBF78DA,89.68,0.67,10.53,無
林口區,土地,建林段121~150地號,267.15,都市：其他:第二種住宅區,,,1090826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,47680000,178477,,0.0,0,,RPORMLRLIIPFFBF68DA,0.0,0.0,0.0,無
新莊區,房地(土地+建物),中信街37巷2弄1~30號,27.86,都市：其他:住宅區,,,1091004,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740130,94.72,3,2,2,有,無,8470000,89421,,0.0,0,其他增建;,RPVNMLSLIIPFFBF09DA,86.5,0.0,8.22,無
新莊區,房地(土地+建物),昌盛街61~90號,21.2,都市：其他:住宅區,,,1090920,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0660202,72.0,1,2,2,有,無,6500000,90278,,0.0,0,,RPQQMLTLIIPFFBF98DA,72.0,0.0,0.0,無
林口區,房地(土地+建物)+車位,三民路91~120號,28.12,都市：其他:第五種住宅區,,,1081207,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090622,143.01999999999998,3,2,2,有,有,16200000,115562,升降機械,13.22,1200000,裝潢費以實際施作價款為準含裝潢費1170000元;,RPSQMLMJJIPFFBF38DA,78.7,0.0,8.26,有
林口區,房地(土地+建物)+車位,三民路91~120號,23.67,都市：其他:第五種住宅區,,,1081207,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090622,122.44,2,2,2,有,有,13830000,115638,升降機械,13.22,1200000,裝潢費以實際施作價款為準含裝潢費1000000元;,RPTQMLMJJIPFFBF48DA,65.49,0.0,7.68,有
新莊區,房地(土地+建物),中平路184巷31~60號,18.1,都市：其他:住宅區,,,1090828,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090518,132.71,3,1,1,有,無,16030000,120790,,0.0,0,,RPVRMLMJJIPFFBF78DA,74.9,5.25,6.74,有
新莊區,房地(土地+建物)+車位,中平路184巷31~60號,18.41,都市：其他:住宅區,,,1090725,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090518,151.44,3,1,1,有,無,17500000,121596,升降機械,17.39,1200000,,RPWRMLMJJIPFFBF88DA,74.9,6.11,6.74,有
新莊區,房地(土地+建物)+車位,中平路184巷31~60號,18.39,都市：其他:住宅區,,,1090203,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090518,151.23,3,1,1,有,無,17400000,121040,升降機械,17.39,1200000,,RPOSMLMJJIPFFBF18DA,74.9,5.97,6.74,有
泰山區,房地(土地+建物),明志路三段74巷1~30號,18.58,都市：其他:住宅區,,,1091012,土地2建物2車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710226,62.4,2,2,1,有,無,4200000,67308,,0.0,0,其他增建;,RPVSMLMJJIPFFBF88DA,59.25,0.0,3.15,無
林口區,房地(土地+建物)+車位,文明街121~150號,35.95,都市：其他:第二種住宅區,,,1090629,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090106,192.19,3,2,2,有,有,18550000,106861,坡道平面,54.16,3800000,,RPTTMLMJJIPFFBF78DA,78.58,5.18,9.72,有
新莊區,房地(土地+建物),新北大道七段301~330號,11.6,都市：其他:住宅區,,,1090923,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931126,136.5,3,2,2,有,有,7000000,51282,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSOMLMJJIPFFBF18DA,93.53,1.28,7.58,有
林口區,土地,國宅段1~30地號,100.66,都市：其他:第五種住宅區,,,1091014,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18267000,181472,,0.0,0,,RPTRMLNJJIPFFBF68DA,0.0,0.0,0.0,無
