鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
松山區,建物,臺北市松山區民權東路三段151~180號,0.0,住,,,1090917,土地0建物1車位0,三層,12,辦公商業大樓,見使用執照,鋼筋混凝土造,0711018,108.85999999999999,3,1,0,有,無,有,46000,423,,0.0,0,,RPQOMLNKIIPFFDA87CC
松山區,房地(土地+建物),臺北市松山區敦化北路4巷1~30號,0.0,其他,,,1090904,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,,86.0,0,0,0,無,無,有,102168,1188,,0.0,0,部份出租,RPROMLNKIIPFFDA97CC
信義區,建物,臺北市信義區崇德街151~180號,0.0,住,,,1090930,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1070731,108.94,2,1,1,有,無,有,51000,468,,0.0,0,,RPSOMLNKIIPFFDA08CC
信義區,建物,臺北市信義區基隆路二段121~150號,0.0,商,,,1090927,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031029,94.22,2,1,1,有,無,有,50000,531,,0.0,0,,RPTOMLNKIIPFFDA18CC
信義區,建物,臺北市信義區基隆路一段331~360號,0.0,其他,,,1090929,土地0建物1車位0,十八層,36,其他,見使用執照,鋼筋混凝土造,0770329,364.1,0,0,0,無,無,有,363462,998,,0.0,0,,RPTPMLNKIIPFFDA28CC
松山區,建物,臺北市松山區復興北路91~120號,0.0,商,,,1091001,土地0建物1車位0,十二層,15,辦公商業大樓,商業用,鋼筋混凝土造,0750106,106.8,0,0,0,無,有,有,65000,609,,0.0,0,,RPPQMLNKIIPFFDA97CC
松山區,建物,臺北市松山區八德路三段151~180號,0.0,商,,,1091008,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070331,88.17,2,2,1,有,有,有,47000,533,,0.0,0,續租。;含管理費、稅金或水電等費用。;,RPRQMLNKIIPFFDA18CC
中山區,建物,臺北市中山區復興北路61~90號,0.0,商,,,1091008,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680425,32.620000000000005,1,0,1,有,有,有,13500,414,,0.0,0,台北市都發局社會住宅包租代管計畫,RPWNMLNKIIPFFCA28CC
中山區,建物,臺北市中山區林森北路361~390號,0.0,商,,,1090917,土地0建物1車位0,十七層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980916,66.62,1,1,1,有,有,有,46000,690,,0.0,0,續租。;含管理費、稅金或水電等費用。;,RPOOMLNKIIPFFCA57CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1090920,土地0建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971229,66.31,1,1,1,有,有,有,31000,468,,0.0,0,續租。;含管理費、稅金或水電等費用。;,RPPOMLNKIIPFFCA67CC
