編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLTKIIPFFAH96CC,39,6.42,共有部份,鋼筋混凝土造,70年4月8日,六層,
RPXOMLTKIIPFFAH96CC,39,7.75,共有部份,鋼筋混凝土造,70年4月8日,六層,
RPXOMLTKIIPFFAH96CC,39,89.04,住家用,鋼筋混凝土造,70年4月8日,六層,
RPPOMLTKIIPFFBH88CC,26,91.42,住家用,鋼筋混凝土造,83年12月27日,七層,
RPPOMLTKIIPFFBH88CC,26,26.37,共有部分,鋼筋混凝土造,83年12月27日,七層,
RPPQMLTKIIPFFBH09CC,28,124.06,見其他登記事項,鋼筋混凝土造,81年5月27日,二十二層,
RPPQMLTKIIPFFBH09CC,28,49.09,共有部分,鋼筋混凝土造,81年5月27日,二十二層,
RPPQMLTKIIPFFBH09CC,28,13.51,共有部分,鋼筋混凝土造,81年5月27日,二十二層,
RPPQMLTKIIPFFBH09CC,28,217.70,見其他登記事項,鋼筋混凝土造,81年5月27日,二十二層,
RPPQMLTKIIPFFBH09CC,28,87.66,共有部分,鋼筋混凝土造,81年5月27日,二十二層,
RPPQMLTKIIPFFBH09CC,28,23.76,共有部分,鋼筋混凝土造,81年5月27日,二十二層,
RPWNMLQKIIPFFCH66CC,23,72.88,住家用,鋼筋混凝土造,86年6月26日,十二層,
RPWNMLQKIIPFFCH66CC,23,4.79,共有部份,鋼筋混凝土造,86年6月26日,十二層,
RPWNMLQKIIPFFCH66CC,23,.67,共有部份,鋼筋混凝土造,86年6月26日,十四層,
RPWNMLQKIIPFFCH66CC,23,36.74,見其他登記事項,鋼筋混凝土造,86年6月26日,十八層,
RPWNMLQKIIPFFCH66CC,23,.03,共有部份,鋼筋混凝土造,86年6月26日,一層,
RPWNMLQKIIPFFCH66CC,24,.00,共有部份,鋼筋混凝土造,86年1月30日,十八層,
RPWNMLQKIIPFFCH66CC,24,.01,共有部份,鋼筋混凝土造,86年1月30日,一層,
RPWNMLQKIIPFFCH66CC,23,2.46,見其他登記事項,鋼筋混凝土造,86年6月26日,十五層,
RPWNMLQKIIPFFCH66CC,24,.05,見其他登記事項,鋼筋混凝土造,86年1月30日,十四層,
RPWQMLTKIIPFFBH17CC,21,75.93,住家用,鋼筋混凝土造,88年9月14日,八層,
RPWQMLTKIIPFFBH17CC,21,50.93,共有部分,鋼筋混凝土造,88年9月14日,八層,
RPTPMLTKIIPFFAH66CC,2,25.66,見其他登記事項,鋼筋混凝土造,107年12月24日,七層,
RPTPMLTKIIPFFAH66CC,2,28.88,見其他登記事項,鋼筋混凝土造,107年12月24日,十三層,
RPTPMLTKIIPFFAH66CC,2,120.46,見其他登記事項,鋼筋混凝土造,107年12月24日,七層,
RPWPMLTKIIPFFAH96CC,40,116.17,住家用,鋼筋混凝土造,70年1月20日,五層,
RPUNMLTKIIPFFBH66CC,30,97.90,住家用,鋼筋混凝土造,79年12月8日,四層,
RPTPMLTKIIPFFBH76CC,39,70.56,住家用,鋼筋混凝土造,70年8月11日,五層,
RPQSMLTKIIPFFBH76CC,40,70.08,住家用,鋼筋混凝土造,69年11月14日,四層,
RPTOMLTKIIPFFGH17CC,4,81.05,住家用,鋼筋混凝土造,105年7月1日,十五層,
RPTOMLTKIIPFFGH17CC,4,71.19,共有部份,鋼筋混凝土造,105年7月1日,十五層,
RPWOMLTKIIPFFGH57DC,40,96.76,住家用,加強磚造,70年2月13日,二層,
