鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中和區,房地(土地+建物),新北市中和區捷運路31~60號,33.53,住,,,1091015,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1050108,172.92,3,2,2,有,有,有,32000,185,,0.0,0,,RPUPMLQKIIPFFHF96CC
中和區,房地(土地+建物),新北市中和區捷運路31~60號,33.53,住,,,1091015,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1050108,172.92,3,2,2,有,有,有,33000,191,,0.0,0,,RPVPMLQKIIPFFHF07CC
汐止區,房地(土地+建物)+車位,新北市汐止區茄苳路121~150號,0.0,住,,,1091012,土地1建物1車位1,十一層,18,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0870921,156.21,3,2,2,有,有,無,22000,141,坡道機械,24.56,0,,RPVOMLQKIIPFFDF56CC
汐止區,房地(土地+建物),新北市汐止區新臺五路一段61~90號,6.85,工,,,1091013,土地1建物1車位0,五層,21,廠辦,工商用,鋼造,0830330,89.65,0,0,0,無,有,有,22000,245,,0.0,0,此為分租戶,RPXOMLQKIIPFFDF76CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路三段151~180號,25.94,住,,,1091009,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031127,197.93,4,2,2,有,有,有,22000,111,坡道平面,28.71,0,含管理費、稅金或水電等費用。;,RPPNMLSKIIPFFEF78CC
淡水區,建物,新北市淡水區後洲路一段151~180號,0.0,住,,,1090930,土地0建物1車位1,見其他登記事項,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990208,243.79000000000002,4,2,3,有,有,有,24000,98,坡道平面,15.52,0,含增建或未登記建物。;租金含管理費。,RPXPMLTKIIPFFEF27CC
淡水區,房地(土地+建物),新北市淡水區大忠街61~90號,5.74,住,,,1091018,土地1建物1車位0,三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0790828,32.839999999999996,1,0,1,有,有,有,6500,198,,0.0,0,,RPTQMLTKIIPFFEF96CC
淡水區,建物,新北市淡水區淡金路16巷1~30號,0.0,住,,,1091019,土地0建物1車位0,二十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821224,107.0,3,2,1,有,有,有,18000,168,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為20000，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為18000。,RPRTMLTKIIPFFEF07CC
淡水區,建物,新北市淡水區八勢一街63巷31~60號,0.0,住,,,1091016,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980219,84.25,2,2,1,有,有,有,12000,142,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為13333，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為12000。,RPUTMLTKIIPFFEF37CC
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路三段31巷91~120號,16.71,住,,,1091015,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010521,183.98000000000002,2,1,1,有,無,有,15000,82,坡道平面,21.04,0,,RPPUMLTKIIPFFEF96CC
